G,T,M,P,Y_star,r_star
280.18805,60.261597,1.5996957,1.0241783,240.82492,118.85056
240.48373,112.998055,1.7907321,1.2782938,189.63333,93.41579
206.63652,63.9461,2.3637629,1.3295592,187.0176,91.73091
173.77591,149.36105,1.4170134,1.3764856,125.87013,61.90561
79.936745,137.76013,1.3993175,0.69287586,65.22843,30.594645
67.90347,65.582054,2.7464797,1.8320916,86.82317,41.912483
58.08142,52.926804,0.7921498,0.5722678,85.067,41.14927
226.17024,101.95088,2.3062608,0.9896301,185.4718,90.405495
113.629,86.04242,1.4274116,1.623745,109.8298,54.03581
149.84343,114.67834,1.3323355,1.0629505,123.95948,60.726315
103.061844,66.1543,2.5867715,0.88862145,113.70804,53.943024
152.22205,120.467064,1.9610313,0.51009715,126.87904,59.595093
87.02064,56.81253,0.58623123,1.7665586,102.56916,50.95273
93.323044,73.611496,2.867029,1.2331597,102.7186,49.03435
216.46385,73.71491,1.1297463,1.6122671,188.31165,93.45512
137.85045,124.194565,2.830607,1.3696539,112.47646,54.171562
252.1679,98.69094,1.3576947,0.69224334,204.91138,100.49439
134.8989,51.94857,2.9687986,0.98498285,142.6842,68.32803
83.30409,71.444,2.118752,1.7847738,94.865685,46.245705
152.94513,76.86115,1.6896151,0.88271993,143.32619,69.74898
114.40657,53.60852,2.2271662,0.9044355,126.54745,60.811237
136.7573,106.40234,1.7111287,1.661285,117.83993,57.88996
56.00055,117.816895,1.1300204,0.92495036,55.538452,26.547514
244.93637,90.82612,2.4337614,1.3724331,202.84808,99.650734
87.974434,80.10276,2.5607748,0.88539034,96.92663,45.571064
237.82721,99.69678,1.5934017,1.4808625,192.97221,95.41013
231.72302,60.28591,2.9257746,1.3262936,207.1167,101.3524
264.30408,69.554924,1.8293824,0.6546817,227.25696,110.83416
79.11849,98.85968,1.0889319,0.68114835,80.7143,38.75848
264.8996,144.41887,1.0688133,1.5257814,192.60661,95.60282
115.90605,84.62459,2.5910363,1.0043786,114.49342,54.666965
221.38365,124.782974,1.2436407,1.6608367,170.0082,84.25529
292.38934,80.32248,2.539509,1.2890298,241.52576,118.79278
157.37102,86.69011,0.535758,0.9935218,140.31105,69.616264
174.03333,52.402775,1.7930589,1.1194907,168.42502,82.610825
146.22118,141.42426,0.88631797,0.9082949,109.513016,53.78071
70.62693,148.68637,2.1934042,1.6200907,52.944897,25.118574
234.98785,98.94984,2.7651532,1.8449048,191.86829,94.43532
50.910267,131.7685,2.24189,1.2266402,46.78893,21.5668
252.59999,140.89708,1.3202167,0.76649284,186.79039,91.67279
268.52814,124.83588,0.5773616,1.7891531,203.05145,101.20302
293.21332,125.75096,1.1577498,1.8602782,220.71964,109.73745
145.51506,52.40047,1.0127289,1.7612844,146.58913,72.71956
72.29476,53.016464,2.943647,1.2364256,96.60459,45.92152
203.10379,61.622982,1.0779212,1.4343649,184.02354,91.26029
244.0534,115.63928,2.233317,1.2881477,191.52664,94.02959
50.586407,56.751167,2.7534573,0.965132,80.172554,37.23334
146.62704,61.832767,2.2006474,0.50736797,148.71582,70.02052
100.06807,75.76486,0.6531179,1.1583285,104.09775,51.485023
164.06703,53.915733,1.6080052,1.5743778,159.82883,78.89303
113.47331,100.06737,1.3790023,1.6874844,103.6195,50.992546
123.90405,107.21341,2.5553901,1.4283795,109.39575,52.90885
135.31764,70.739975,1.632745,1.5920048,132.08916,65.019
56.211998,132.73827,1.6840694,1.7194674,48.94848,23.494823
277.56345,81.01776,2.861964,1.1050067,231.52344,113.17171
279.79138,85.923645,2.0474524,1.7397485,228.99353,113.319885
155.39136,138.09375,2.329443,1.2342467,118.7927,57.509007
160.76474,142.92758,1.3476136,0.984385,119.81869,58.54035
123.98501,94.26398,2.5674675,0.95875645,116.27317,55.458675
62.11715,64.106094,1.9297264,0.8128977,84.57231,39.91228
53.35695,74.91655,1.4989083,0.67235124,73.47551,34.508404
221.4573,106.36696,1.9908916,1.4218109,178.884,88.04176
106.36923,129.30963,0.76606905,1.9430386,85.40853,42.310017
94.64038,124.892235,1.7959625,1.356618,80.25196,38.802128
165.2471,77.920876,2.3232663,1.3513656,151.38072,73.97114
133.3736,52.73167,0.57951766,0.96864307,137.80795,68.3057
134.5599,56.242653,1.086025,0.95435345,137.9216,67.82284
179.0164,84.092186,2.5331519,1.0149323,159.68063,77.34442
148.48595,100.62721,1.7783475,1.5096029,128.90405,63.274
131.96094,77.54122,1.7074221,1.3793049,127.07998,62.302105
115.14926,60.46474,1.877561,0.9744372,123.37433,59.760345
73.271576,105.26939,1.1889755,1.3969588,72.722984,35.510372
279.81342,60.31296,2.7836535,1.1189628,241.85791,118.44124
124.97661,61.60379,1.6260592,1.198913,129.09064,63.189037
208.12244,59.352703,1.2948626,1.781799,188.54591,93.54622
131.62927,86.451324,2.407987,0.9374764,124.925476,59.894146
185.15765,144.1629,0.70956516,1.9497935,135.27698,67.27456
291.53754,119.54597,1.5194331,0.8397746,223.87756,110.129456
232.59033,94.07155,1.8759854,1.944849,191.4833,94.77704
66.67504,110.29056,1.362072,1.5317568,65.91367,32.067616
224.61285,119.91045,2.4303179,1.5511467,175.57155,86.21898
293.65533,100.29131,0.6825011,1.0784383,231.96162,115.34794
207.88542,59.671284,1.3896329,1.0456101,189.10045,93.22123
258.8031,69.19437,1.2246277,0.7014018,221.98456,109.24632
298.23596,66.032364,2.9066665,0.53076726,256.83517,122.94124
155.84637,98.730385,2.2488565,1.775114,135.10135,66.2838
200.9443,54.229916,0.8175464,1.9775237,185.16655,92.16986
